id;title;genres;company;score;released_at
11-eyes-crossover;11 Eyes: CrossOver;Adventure,Visual Novel;;0;2010-01-28 00:00:00.000000
12-ji-no-kane-to-cinderella-halloween-wedding;12-Ji no Kane to Cinderella: Halloween Wedding;Adventure,Visual Novel;;0;2012-02-23 00:00:00.000000
12riven-the-psi-climinal-of-integral;12Riven: The Psi-Climinal of Integral;Adventure,Visual Novel;7thChord / CyberFront;0;2009-04-16 00:00:00.000000
2010-fifa-world-cup-south-africa;2010 FIFA World Cup South Africa;Sports,Team,Soccer,Sim;Electronic Arts / EA Sports;69;2010-04-27 00:00:00.000000
2-games-in-1-archer-macleans-mercury-mercury-meltdown;2 Games in 1! Archer Maclean's Mercury / Mercury Meltdown;Miscellaneous,Compilation;;0;2010-11-05 00:00:00.000000
300-march-to-glory;300: March to Glory;Action,Beat-'Em-Up,2D;Collision Studios / Warner Bros. Interactive Entertainment;55;2007-02-27 00:00:00.000000
428-fuusa-sareta-shibuya-de;428: Fuusa Sareta Shibuya de;Action Adventure,General;ChunSoft / Spike;0;2009-09-17 00:00:00.000000
50-cent-bulletproof-g-unit-edition;50 Cent: Bulletproof G Unit Edition;Action Adventure,General;High Voltage Software / Vivendi Games;52;2006-08-29 00:00:00.000000
77-beyond-the-milky-way;77: Beyond the Milky Way;Adventure,Visual Novel;;0;2010-12-22 00:00:00.000000
7th-dragon-2020-2;7th Dragon 2020-II;Role-Playing,General;Imageepoch / Sega;0;2013-04-18 00:00:00.000000
7th-dragon-2020;7th Dragon 2020;Role-Playing,General;Imageepoch / Sega;0;2011-11-23 00:00:00.000000
7-wonders-of-the-ancient-world;7 Wonders of the Ancient World;Puzzle,General;;51;2007-04-23 00:00:00.000000
ace-combat-10-skies-of-deception;Ace Combat X: Skies of Deception;Simulation,Flight,Combat;Project Aces / Namco Bandai Games;75;2006-10-23 00:00:00.000000
ace-combat-joint-assault;Ace Combat: Joint Assault;Simulation,Flight,Combat;Project Aces / Namco Bandai Games;71;2010-08-31 00:00:00.000000
aces-of-war;Aces of War;Simulation,Flight,Combat;Marionette / 505 Game Street;0;2007-03-23 00:00:00.000000
action-pack-prince-of-persia-revelations-driver-76-rainbow-six-vegas;Action Pack: Prince of Persia Revelations, Driver 76, Rainbow Six Vegas;Miscellaneous,Compilation;;0;2009-03-27 00:00:00.000000
activision-hits-remixed;Activision Hits Remixed;Miscellaneous,Compilation;Digital Eclipse / Activision;75;2006-11-08 00:00:00.000000
adventure-player;Adventure Player;Adventure,General;;0;2005-06-30 00:00:00.000000
adventures-to-go;Adventures to Go!;Role-Playing,General;Global A / Natsume;58;2009-10-27 00:00:00.000000
